*X* Trying to connect IC and Language Binding
*X* Starting up in client container. Running performance test against:docks
*X* receive delay: 91ms, Latency: 424ms
*X* receive delay: 5ms, Latency: 92ms
*X* receive delay: 4ms, Latency: 88ms
*X* receive delay: 4ms, Latency: 78ms
*X* receive delay: 4ms, Latency: 82ms
*X* receive delay: 3ms, Latency: 84ms
*X* receive delay: 4ms, Latency: 82ms
*X* receive delay: 4ms, Latency: 94ms
*X* receive delay: 3ms, Latency: 107ms
*X* receive delay: 3ms, Latency: 95ms
*X* receive delay: 3ms, Latency: 93ms
*X* receive delay: 3ms, Latency: 105ms
*X* receive delay: 3ms, Latency: 94ms
*X* receive delay: 3ms, Latency: 89ms
*X* receive delay: 2ms, Latency: 70ms
*X* receive delay: 3ms, Latency: 68ms
*X* receive delay: 3ms, Latency: 72ms
*X* receive delay: 3ms, Latency: 69ms
*X* receive delay: 3ms, Latency: 81ms
*X* receive delay: 3ms, Latency: 73ms
*X* receive delay: 3ms, Latency: 72ms
*X* receive delay: 3ms, Latency: 82ms
*X* receive delay: 3ms, Latency: 82ms
*X* receive delay: 3ms, Latency: 98ms
*X* receive delay: 3ms, Latency: 79ms
*X* receive delay: 2ms, Latency: 66ms
*X* receive delay: 3ms, Latency: 68ms
*X* receive delay: 3ms, Latency: 70ms
*X* receive delay: 3ms, Latency: 70ms
*X* receive delay: 3ms, Latency: 79ms
*X* receive delay: 3ms, Latency: 77ms
*X* receive delay: 3ms, Latency: 79ms
*X* receive delay: 3ms, Latency: 78ms
*X* receive delay: 2ms, Latency: 80ms
*X* receive delay: 3ms, Latency: 82ms
*X* receive delay: 2ms, Latency: 93ms
*X* receive delay: 2ms, Latency: 79ms
*X* receive delay: 3ms, Latency: 82ms
*X* receive delay: 3ms, Latency: 76ms
*X* receive delay: 2ms, Latency: 76ms
*X* receive delay: 3ms, Latency: 67ms
*X* receive delay: 2ms, Latency: 67ms
*X* receive delay: 2ms, Latency: 68ms
*X* receive delay: 3ms, Latency: 71ms
*X* receive delay: 3ms, Latency: 73ms
*X* receive delay: 3ms, Latency: 72ms
*X* receive delay: 3ms, Latency: 67ms
*X* receive delay: 3ms, Latency: 65ms
*X* receive delay: 2ms, Latency: 80ms
*X* receive delay: 2ms, Latency: 72ms
*X* receive delay: 2ms, Latency: 82ms
*X* receive delay: 3ms, Latency: 83ms
*X* receive delay: 3ms, Latency: 82ms
*X* receive delay: 3ms, Latency: 85ms
*X* receive delay: 3ms, Latency: 73ms
*X* receive delay: 3ms, Latency: 83ms
*X* receive delay: 4ms, Latency: 67ms
*X* receive delay: 2ms, Latency: 64ms
*X* receive delay: 2ms, Latency: 82ms
*X* receive delay: 3ms, Latency: 77ms
*X* receive delay: 3ms, Latency: 73ms
*X* receive delay: 3ms, Latency: 76ms
*X* receive delay: 2ms, Latency: 86ms
*X* receive delay: 2ms, Latency: 79ms
*X* receive delay: 3ms, Latency: 76ms
*X* receive delay: 3ms, Latency: 69ms
*X* receive delay: 2ms, Latency: 82ms
*X* receive delay: 3ms, Latency: 64ms
*X* receive delay: 3ms, Latency: 78ms
*X* receive delay: 3ms, Latency: 69ms
*X* receive delay: 2ms, Latency: 77ms
*X* receive delay: 2ms, Latency: 77ms
*X* receive delay: 2ms, Latency: 64ms
*X* receive delay: 4ms, Latency: 71ms
*X* receive delay: 3ms, Latency: 75ms
*X* receive delay: 3ms, Latency: 81ms
*X* receive delay: 3ms, Latency: 81ms
*X* receive delay: 3ms, Latency: 76ms
*X* receive delay: 3ms, Latency: 85ms
*X* receive delay: 3ms, Latency: 82ms
*X* receive delay: 3ms, Latency: 68ms
*X* receive delay: 2ms, Latency: 73ms
*X* receive delay: 2ms, Latency: 72ms
*X* receive delay: 3ms, Latency: 70ms
*X* receive delay: 3ms, Latency: 80ms
*X* receive delay: 2ms, Latency: 71ms
*X* receive delay: 3ms, Latency: 82ms
*X* receive delay: 2ms, Latency: 88ms
*X* receive delay: 3ms, Latency: 67ms
*X* receive delay: 2ms, Latency: 71ms
*X* receive delay: 2ms, Latency: 69ms
*X* receive delay: 3ms, Latency: 73ms
*X* receive delay: 2ms, Latency: 80ms
*X* receive delay: 2ms, Latency: 80ms
*X* receive delay: 2ms, Latency: 78ms
*X* receive delay: 2ms, Latency: 87ms
*X* receive delay: 2ms, Latency: 74ms
*X* receive delay: 2ms, Latency: 69ms
*X* receive delay: 2ms, Latency: 71ms
*X* receive delay: 2ms, Latency: 77ms
*X* receive delay: 2ms, Latency: 79ms
*X* receive delay: 2ms, Latency: 68ms
*X* receive delay: 3ms, Latency: 77ms
*X* receive delay: 3ms, Latency: 75ms
*X* receive delay: 2ms, Latency: 87ms
*X* receive delay: 3ms, Latency: 71ms
*X* receive delay: 3ms, Latency: 68ms
*X* receive delay: 3ms, Latency: 67ms
*X* receive delay: 2ms, Latency: 69ms
*X* receive delay: 2ms, Latency: 70ms
