*X* In async logging mode
*X* Trying to connect IC and Language Binding
*X* Starting up in client container. Running performance test against:docks
*X* receive delay: 85ms, Latency: 345ms
*X* receive delay: 15ms, Latency: 56ms
*X* receive delay: 21ms, Latency: 49ms
*X* receive delay: 24ms, Latency: 49ms
*X* receive delay: 19ms, Latency: 44ms
*X* receive delay: 25ms, Latency: 50ms
*X* receive delay: 20ms, Latency: 44ms
*X* receive delay: 25ms, Latency: 49ms
*X* receive delay: 13ms, Latency: 48ms
*X* receive delay: 17ms, Latency: 46ms
*X* receive delay: 22ms, Latency: 47ms
*X* receive delay: 31ms, Latency: 55ms
*X* receive delay: 24ms, Latency: 49ms
*X* receive delay: 23ms, Latency: 47ms
*X* receive delay: 21ms, Latency: 46ms
*X* receive delay: 20ms, Latency: 44ms
*X* receive delay: 21ms, Latency: 45ms
*X* receive delay: 21ms, Latency: 46ms
*X* receive delay: 20ms, Latency: 44ms
*X* receive delay: 24ms, Latency: 49ms
*X* receive delay: 14ms, Latency: 44ms
*X* receive delay: 21ms, Latency: 46ms
*X* receive delay: 20ms, Latency: 44ms
*X* receive delay: 21ms, Latency: 45ms
*X* receive delay: 22ms, Latency: 47ms
*X* receive delay: 23ms, Latency: 47ms
*X* receive delay: 31ms, Latency: 55ms
*X* receive delay: 26ms, Latency: 50ms
*X* receive delay: 34ms, Latency: 59ms
*X* receive delay: 18ms, Latency: 56ms
*X* receive delay: 14ms, Latency: 44ms
*X* receive delay: 22ms, Latency: 48ms
*X* receive delay: 21ms, Latency: 44ms
*X* receive delay: 22ms, Latency: 45ms
*X* receive delay: 21ms, Latency: 45ms
*X* receive delay: 25ms, Latency: 49ms
*X* receive delay: 30ms, Latency: 64ms
*X* receive delay: 29ms, Latency: 58ms
*X* receive delay: 28ms, Latency: 52ms
*X* receive delay: 23ms, Latency: 47ms
*X* receive delay: 21ms, Latency: 44ms
*X* receive delay: 25ms, Latency: 48ms
*X* receive delay: 24ms, Latency: 49ms
*X* receive delay: 34ms, Latency: 59ms
*X* receive delay: 47ms, Latency: 72ms
*X* receive delay: 27ms, Latency: 61ms
*X* receive delay: 36ms, Latency: 63ms
*X* receive delay: 36ms, Latency: 61ms
*X* receive delay: 34ms, Latency: 58ms
*X* receive delay: 24ms, Latency: 47ms
*X* receive delay: 26ms, Latency: 49ms
*X* receive delay: 21ms, Latency: 45ms
*X* receive delay: 26ms, Latency: 49ms
*X* receive delay: 23ms, Latency: 46ms
*X* receive delay: 22ms, Latency: 44ms
*X* receive delay: 24ms, Latency: 47ms
*X* receive delay: 22ms, Latency: 44ms
*X* receive delay: 20ms, Latency: 44ms
*X* receive delay: 24ms, Latency: 47ms
*X* receive delay: 25ms, Latency: 47ms
*X* receive delay: 19ms, Latency: 45ms
*X* receive delay: 26ms, Latency: 46ms
*X* receive delay: 24ms, Latency: 47ms
*X* receive delay: 29ms, Latency: 52ms
*X* receive delay: 28ms, Latency: 51ms
*X* receive delay: 13ms, Latency: 47ms
*X* receive delay: 14ms, Latency: 46ms
*X* receive delay: 12ms, Latency: 43ms
*X* receive delay: 16ms, Latency: 44ms
*X* receive delay: 17ms, Latency: 41ms
*X* receive delay: 21ms, Latency: 43ms
*X* receive delay: 16ms, Latency: 48ms
*X* receive delay: 19ms, Latency: 44ms
*X* receive delay: 24ms, Latency: 47ms
*X* receive delay: 26ms, Latency: 48ms
*X* receive delay: 22ms, Latency: 45ms
*X* receive delay: 23ms, Latency: 45ms
*X* receive delay: 12ms, Latency: 46ms
*X* receive delay: 27ms, Latency: 46ms
*X* receive delay: 14ms, Latency: 46ms
*X* receive delay: 26ms, Latency: 52ms
*X* receive delay: 27ms, Latency: 51ms
*X* receive delay: 22ms, Latency: 54ms
*X* receive delay: 15ms, Latency: 47ms
*X* receive delay: 19ms, Latency: 45ms
*X* receive delay: 16ms, Latency: 42ms
*X* receive delay: 22ms, Latency: 45ms
*X* receive delay: 21ms, Latency: 44ms
*X* receive delay: 24ms, Latency: 47ms
*X* receive delay: 24ms, Latency: 47ms
*X* receive delay: 33ms, Latency: 56ms
*X* receive delay: 46ms, Latency: 69ms
*X* receive delay: 21ms, Latency: 258ms
*X* receive delay: 24ms, Latency: 61ms
*X* receive delay: 19ms, Latency: 49ms
*X* receive delay: 17ms, Latency: 50ms
*X* receive delay: 23ms, Latency: 52ms
*X* receive delay: 16ms, Latency: 51ms
*X* receive delay: 19ms, Latency: 48ms
*X* receive delay: 23ms, Latency: 52ms
*X* receive delay: 27ms, Latency: 52ms
*X* receive delay: 15ms, Latency: 50ms
*X* receive delay: 25ms, Latency: 55ms
*X* receive delay: 23ms, Latency: 47ms
*X* receive delay: 24ms, Latency: 48ms
*X* receive delay: 26ms, Latency: 49ms
*X* receive delay: 16ms, Latency: 52ms
*X* receive delay: 16ms, Latency: 46ms
*X* receive delay: 16ms, Latency: 47ms
*X* receive delay: 19ms, Latency: 46ms
*X* receive delay: 27ms, Latency: 51ms
*X* receive delay: 14ms, Latency: 49ms
*X* receive delay: 30ms, Latency: 59ms
*X* receive delay: 15ms, Latency: 50ms
*X* receive delay: 16ms, Latency: 45ms
*X* receive delay: 22ms, Latency: 47ms
*X* receive delay: 30ms, Latency: 53ms
*X* receive delay: 16ms, Latency: 51ms
*X* receive delay: 14ms, Latency: 49ms
*X* receive delay: 22ms, Latency: 48ms
*X* receive delay: 22ms, Latency: 46ms
*X* receive delay: 15ms, Latency: 49ms
*X* receive delay: 18ms, Latency: 49ms
*X* receive delay: 18ms, Latency: 47ms
*X* receive delay: 22ms, Latency: 46ms
*X* receive delay: 16ms, Latency: 48ms
*X* receive delay: 21ms, Latency: 48ms
*X* receive delay: 18ms, Latency: 43ms
*X* receive delay: 10ms, Latency: 43ms
*X* receive delay: 14ms, Latency: 48ms
*X* receive delay: 14ms, Latency: 48ms
*X* receive delay: 27ms, Latency: 47ms
*X* receive delay: 29ms, Latency: 48ms
